NAMA PERUSAHAAN,LABA_PER_SAHAM,CURRENT RATIO,DEBT RATIO ,DEBT TO EQUITY RATIO,ROA,ROE,NPM,Volume,Nilai,Frekuensi,Harga Terakhir,Rasio EPS
JSMR,103.2600000000,1.315866243,0.759955661,3.16589703,0.002100677,0.008751205,0.020809033,6658200,25684028000,2574,"3,880",0.026613402
ESSA,8.0119200000,1.558691444,0.641563796,1.78989675,0.009518417,0.0265554,0.032121855,87578800,26299022800,4375,304,0.026355
IPTV,6.1700000000,3.191331482,0.313348834,0.456343556,0.022007861,0.032051006,0.087794144,65885900,15826879800,7067,238,0.02592437
CPIN,163.0000000000,3.288901093,0.304052926,0.436890874,0.077027852,0.110680617,0.071158481,4317700,27637232500,2240,"6,425",0.02536965
PPRE,5.5000000000,1.721261329,0.580969306,1.386460026,0.015369242,0.036678081,0.056929583,24114800,5381556200,1334,220,0.025
WTON,6.1976878785,1.675809724,0.596726457,1.479706439,0.006051662,0.015006344,0.020700751,20591800,5382417600,1725,258,0.024022046
RALS,15.6200000000,3.776138412,0.264820801,0.360212587,0.021158212,0.028779667,0.05197621,8105600,5528783500,1199,685,0.02280292
HRUM,206.0208000000,1,1,1.309469714,0.075076851,0.098310862,0.253049881,26574800,241284772500,16570,"9,300",0.022152774
KAEF,53.0600000000,1.623889781,0.615805341,1.602847219,0.015637433,0.040701849,0.031041214,8460600,20843629000,3773,"2,400",0.022108333
ZINC,2.6200000000,1.786285645,0.559820879,1.271802437,0.03291658,0.074779966,0.10683831,689018500,82793385600,7522,119,0.022016807
FIRE,12.6900000000,3.131374942,0.319348535,0.469180706,0.034186269,0.050225807,0.026574509,24625100,14382471500,3588,585,0.021692308
GOOD,8.5600000000,1.790689392,0.558444141,1.26471913,0.056838766,0.12872384,0.058169328,12612400,5205183600,1524,420,0.020380952
BMHS,22.0000000000,2.938233364,0.340340564,0.515933746,0.111730453,0.169375963,0.213953298,87724800,94843582000,7162,"1,095",0.020091324
TRIM,6.5300000000,1.381013365,0.724105954,2.62457985,0.01472063,0.0533561,0.155618361,40245500,13402018600,2942,326,0.020030675
AMRT,26.6600000000,0.743985169,1.344112815,2.189101023,0.083399715,0.135829671,0.018029607,16951400,23276879000,2003,"1,380",0.019318841
MLPL,11.0000000000,1.428997596,0.69979124,2.331015396,0.005610202,0.018687669,0.011894572,119471200,67354708000,6825,570,0.019298246
PTPP,21.0000000000,1.338209605,0.747267092,2.956746308,0.003643831,0.014417714,0.018263198,35006000,38369416000,4270,"1,090",0.019266055
MMLP,12.0000000000,7.000332937,0.142850349,0.166657419,0.020467089,0.023878081,0.615272136,11917600,7617839500,1919,635,0.018897638
MYOR,44.0000000000,2.221125241,0.450222248,0.81891682,0.049937233,0.090831673,0.0505472,3430800,8077870000,623,"2,360",0.018644068
TBIG,51.8200000000,1.300224416,0.769098002,3.330841685,0.026929103,0.116625681,0.245480037,32154800,95438237000,4080,"2,960",0.017506757
ELSA,5.1500000000,2.107845644,0.47441804,0.902652825,0.005315528,0.010113604,0.006566213,103442000,31893891400,6295,306,0.016830065
IMPC,32.6900000000,2.393173382,0.417855224,0.71778575,0.05608319,0.096338904,0.09814293,3411100,6960751000,367,"2,080",0.015716346
WSKT,12.8486587432,1.173765753,0.851958747,5.754873913,0.000632157,0.004270138,0.009363594,66238300,54900809000,5581,835,0.015387615
IPCC,9.1300000000,2.188967675,0.456836349,0.841065759,0.008824519,0.016246521,0.047721905,13269500,7708035500,1733,595,0.015344538
TPIA,108.7332000000,2.771935279,0.360758784,0.564354698,0.036085309,0.056450223,0.088073664,2342400,16727272500,1815,"7,200",0.015101833
ACES,18.8700000000,2.896263471,0.345272455,0.762996889,0.029331914,0.064818837,0.068982155,19385400,24576928500,3999,"1,270",0.014858268
SMRA,11.2000000000,1.719343078,0.581617487,1.390157257,0.009206327,0.022004568,0.061813519,64395800,54124435500,5226,845,0.013254438
BUMI,0.8700000000,1.081862968,0.924331482,12.21553566,0.019252615,0.254433623,0.107007461,2315014700,157141717800,23085,66,0.013181818
APIC,10.8100000000,1.522427232,0.656845844,1.914142179,0.021483698,0.062606549,0.080732527,9167700,7797489500,789,855,0.012643275
BRMS ,1.1445608000,7.09514897,0.140941368,0.164064899,0.008816671,0.010263177,0.748725583,261805000,24566577500,2654,93,0.012307105
RODA,1.2000000000,2.458987045,0.40667152,0.685407045,0.005573696,0.009393947,0.067569504,115852000,12075726100,8843,100,0.012
NPGF,1.4800000000,2.113156679,0.473225677,0.898346135,0.011975174,0.022733025,0.022526688,65227700,9007875700,5419,131,0.01129771
BULL ,2.8614000000,1.740017752,0.57470678,1.351318934,0.003417283,0.008035123,0.020705363,135442000,36839195000,2992,272,0.010519853
MAIN,8.0000000000,1.592471465,0.627954737,1.687845,0.003465592,0.009314973,0.002779083,8145600,6567221000,1810,800,0.01
WIKA,11.7000000000,1.348927307,0.741329792,2.865926457,0.002736827,0.010580373,0.016332051,44187800,53880596500,6887,"1,210",0.009669421
MEDC,5.1505200000,1.305240477,0.766142345,3.276105483,0.013315663,0.056939177,0.073542421,24133400,71002316000,4262,550,0.009364582
BACA,2.9600000000,1.081447977,0.924686181,12.27777581,0.000947323,0.012578337,0.014672094,27790900,9097902200,3503,324,0.009135802
GJTL,5.5500000000,1.571031103,0.636524635,1.751218094,0.000805363,0.002215728,0.001386064,7695300,5445699000,1134,715,0.007762238
RANC,17.0000000000,1.594676496,0.627086436,1.681586555,0.019500865,0.052293257,0.01257268,5177800,12472071000,1201,"2,420",0.007024793
MPOW,0.9900000000,2.442838558,0.40935984,0.693078234,0.003316543,0.005615166,0.025559268,78765900,11650607600,5267,143,0.006923077
ASSA,22.5500000000,1.587040527,0.630103632,1.703459904,0.011788288,0.031869163,0.019972208,8732000,29921834000,2588,"3,430",0.006574344
MCAS,66.0000000000,3.81564091,0.262079169,0.355158925,0.064283743,0.087114688,0.013666949,827500,8309217500,573,"10,200",0.006470588
BEBS,9.0000000000,4.84830472,0.206257663,0.259854682,0.092050612,0.115970394,0.224129423,36129500,50894177500,3233,"1,425",0.006315789
FILM,2.3400000000,27.12101413,0.036871778,0.038283353,0.014835142,0.015403081,0.105018848,27582500,10066267600,3532,376,0.006223404
MDKA,12.8763000000,2.831356894,0.353187548,0.546043212,0.015829532,0.024473141,0.070923432,39454100,99177394000,6947,"2,520",0.005109643
BBHI,18.8658260693,1.229367401,0.813426482,4.359817469,0.01242745,0.066608863,0.96683873,2191200,8312448000,1112,"3,750",0.005030887
ADHI,4.7796874333,1.159206075,0.862659385,6.281167343,0.000564551,0.004110592,0.003130355,32731700,31304258500,5697,965,0.004953044
WIFI,3.7300000000,2.780033485,0.359707898,0.561787185,0.011082612,0.017308681,0.024769637,72792500,58109997500,17577,775,0.004812903
ARKA,0.3700000000,1.251859366,0.798811773,3.970469772,0.001619607,0.008050205,0.015004694,73938500,6213847000,3633,83,0.004457831
IMJS,2.1700000000,1.186761542,0.84262926,5.354421418,-0.000873403,-0.005549972,-0.007165633,96050300,49117233600,7996,498,0.00435743
SMBR,2.0000000000,2.424315186,0.412487619,0.702091791,0.002857983,0.004864549,0.013697687,11603800,7664494000,1789,660,0.003030303
KIOS,3.0500000000,40.26780251,0.024833737,0.025466156,0.034618591,0.035500193,0.007882508,32746900,34867775500,16647,"1,055",0.002890995
PPRO,0.2000000000,1.299804168,0.769346664,3.335510671,0.000675407,0.002928235,0.015621985,72803300,5261287100,2806,72,0.002777778
BGTG ,0.5500000000,1.174305997,0.8515668,5.737037268,0.000797401,0.005372121,0.023102385,42455100,8720047200,4395,204,0.002696078
POLL,8.6400000000,1.309090469,0.763889146,3.235298722,0.022372714,0.094755129,0.257863967,8062500,26107836000,1527,"3,220",0.00268323
EMTK,3.7200000000,9.270894751,0.107864454,0.120905903,0.020214406,0.022658447,0.05730175,57619400,100945014000,10979,"1,740",0.002137931
WOWS,0.1200000000,4.751081908,0.210478375,0.266589753,0.000385528,0.000488306,0.003837336,107004900,6382343700,4584,57,0.002105263
RAJA,0.4292100000,1.99566218,0.501086812,1.004356719,0.004853955,0.009729058,0.016444212,35409200,7474019000,2798,208,0.00206351
BOGA ,2.4500000000,2.287969233,0.437068814,0.776416062,0.011685732,0.020758721,0.022337653,122248000,170212106000,5453,"1,415",0.001731449
CARE,0.5610000000,13.24334296,0.075509636,0.081677039,0.005287921,0.005719823,0.081139169,388186700,167445713600,5316,432,0.001298611
TCPI,12.0000000000,2.112536953,0.473364501,0.898846549,0.021931467,0.04164449,0.05315132,12389000,119518277500,13756,"9,550",0.001256545
DMMX,3.1600000000,9.007639882,0.111016872,0.124880741,0.217594582,0.244767955,0.316399167,10813700,29805634000,3398,"2,790",0.001132616
BABP,0.2300000000,1.163048462,0.8598094,6.133145865,0.000425502,0.003035169,0.006721383,256086700,69172289600,18019,266,0.000864662
PNBS,0.0600000000,13.9775116,0.071543493,0.282013951,0.00020035,0.000789749,0.002273795,86189500,7706741400,4444,88,0.000681818
TECH,2.4400000000,10.70415505,0.093421666,0.103048642,0.048275886,0.05325065,0.197751248,1790300,10251462500,470,"5,700",0.00042807
UNTR,2.0960000000,2.684885861,0.372455312,0.593512013,0.072867355,0.116115005,0.139494845,13841700,354825592500,14466,"26,000",8.06154E-05
CMNT,0.0000380000,0.258030724,3.875507483,3.407399692,0.100456927,0.088323117,0.064449928,28097000,26896924000,872,960,3.95833E-08
ARTO,-2.4900000000,3.858105629,0.259194562,0.3498821,-0.002969962,-0.004009099,-0.08466698,6544800,98280600000,5129,"15,100",-0.000164901
ASPI,-0.1400000000,3.451387823,0.28973852,0.407932189,-0.001054646,-0.00148487,-0.017870016,241735000,19776864100,16323,71,-0.001971831
MARI,-2.0100000000,2.655202664,0.376619086,0.604155625,-0.047541187,-0.076263463,-0.324644128,25441400,18471807000,2066,488,-0.004118852
LUCK,-1.0000000000,5.293368473,0.188915622,0.232917348,-0.006332059,-0.007806906,-0.015519614,27674000,6397576000,3084,224,-0.004464286
MAPI,-5.0000000000,16.18293613,0.061793484,0.161581474,-0.003544769,-0.009269083,-0.004952292,23368600,18134075500,1990,780,-0.006410256
PTDU,-1.9200000000,1.391885466,0.718449919,2.551765976,-0.008928747,-0.031712821,-0.059440366,46828500,10746291600,5158,244,-0.007868852
TOYS,-2.3300000000,3.585871645,0.278872224,0.386716797,-0.009040148,-0.012536125,-0.038529323,461741800,100716550900,38027,218,-0.010688073
FREN,-1.2100000000,1.433493802,0.697596319,2.306838056,-0.010585164,-0.035003423,-0.057801734,510147900,57234421100,10936,112,-0.010803571
RUNS,-6.6100000000,69.47103953,0.014394487,0.014604715,-0.070574925,-0.071605652,-1.979079181,26931200,16283690500,4352,605,-0.01092562
BUKA,-11.0000000000,23.44049339,0.042661218,0.0445623,-0.045088189,-0.047097422,-0.83706042,172722300,149082205000,14578,860,-0.012790698
BBKP,-11.0494666679,1.099664157,0.90936855,10.03369745,-0.004044908,-0.044630292,-0.079621386,106384500,44609161000,5720,418,-0.026434131
PKPK,-4.2300000000,2.300461125,0.434695457,0.768958011,-0.037871107,-0.066992399,-1.218828669,294359600,46551167600,19464,153,-0.027647059
IMAS,-29.3300000000,1.344519825,0.743759951,2.902590581,-0.00186952,-0.007295972,-0.006647433,5142100,4916128500,1064,945,-0.031037037
BBYB ,-44.9700000000,1.15848228,0.863198357,6.309853711,-0.03273873,-0.239315324,-0.472167347,38724900,54377507500,8243,"1,380",-0.032586957
CENT,-9.4000000000,1.397422645,0.715603117,2.516212935,-0.037139044,-0.130588787,-0.328168036,27417700,7718432200,2289,280,-0.033571429
TRUK,-6.7300000000,3.942309307,0.253658433,0.339869095,-0.036133958,-0.048414773,-0.097397529,548915700,98488320400,37194,179,-0.037597765
AGRO,-84.4500000000,1.139816215,0.877334422,7.152246274,-0.089206985,-0.727237308,-1.421457459,78740600,175309004000,15755,"2,240",-0.037700893
ASRI,-7.0700000000,1.741781471,0.574124835,1.348105931,-0.006568891,-0.015424453,-0.080453653,41941100,7121601100,2756,169,-0.04183432
LPKR,-8.1000000000,1.562929446,0.639824147,1.776421552,-0.009219514,-0.025597258,-0.054074422,183337700,29216176700,6273,153,-0.052941176
WEHA,-12.4000000000,2.070842465,0.482895255,0.933844176,-0.053103588,-0.102694065,-0.188933826,30062900,6769658200,3575,228,-0.054385965
WSBP,-11.3800000000,1.095452024,0.912865172,10.47646722,-0.027734264,-0.318291374,-0.375073673,62023800,9653999700,4424,154,-0.073896104
BEST,-9.4000000000,3.378082429,0.296025932,0.420506871,-0.014958999,-0.021249361,-0.771724899,57618700,7300756000,2128,127,-0.074015748
DOID,-26.4679500000,1.216882501,0.821772028,4.610791539,-0.011567691,-0.064903903,-0.026984548,243305600,82547761000,10821,330,-0.080205909
INDY,-183.3764440460,1.301051052,0.768609348,3.321695754,-0.002279959,-0.009853289,-0.003894217,159607600,305799943500,27908,"1,900",-0.096513918
PUDP,-38.8900000000,2.527101772,0.395710221,0.654835204,-0.025434367,-0.042089686,-0.377261505,31273800,13574814200,8414,356,-0.109241573
FOOD,-13.5500000000,1.734289755,0.576604917,1.36186021,-0.092981877,-0.219610195,-0.147828458,72426600,7637349700,4580,100,-0.1355
DYAN,-17.0000000000,2.161597709,0.462620772,0.860883241,-0.095646971,-0.177987846,-0.379467865,103618300,9296704100,4719,87,-0.195402299
ACST,-60.0000000000,1.879434812,0.532074852,1.137093946,-0.128936006,-0.275548359,-0.360613685,30525000,7924939400,2994,254,-0.236220472
BEKS ,-332.0000000000,1.239754983,0.806610995,4.170924788,-0.020188192,-0.104391624,-0.621767982,70020900,6607774200,2024,95,-3.494736842
