NAMA_PERUSAHAAN,LABA_PER_SAHAM,CURRENT RATIO,DEBT RATIO ,DEBT TO EQUITY RATIO,ROA,ROE,NPM
ACST,-60.0000000000,1.879434812,0.532074852,1.137093946,-0.128936006,-0.275548359,-0.360613685
BALI,34.0500000000,1.885010736,0.530500957,1.129929796,0.027321994,0.058193929,0.192900762
APIC,10.8100000000,1.522427232,0.656845844,1.914142179,0.021483698,0.062606549,0.080732527
CENT,-9.4000000000,1.397422645,0.715603117,2.516212935,-0.037139044,-0.130588787,-0.328168036
IPCC,9.1300000000,2.188967675,0.456836349,0.841065759,0.008824519,0.016246521,0.047721905
PNBS,0.0600000000,13.9775116,0.071543493,0.282013951,0.00020035,0.000789749,0.002273795
BMTR,59.3000000000,3.176396961,0.314822112,0.459475003,0.054776393,0.079944777,0.182113004
SMBR,2.0000000000,2.424315186,0.412487619,0.702091791,0.002857983,0.004864549,0.013697687
FOOD,-13.5500000000,1.734289755,0.576604917,1.36186021,-0.092981877,-0.219610195,-0.147828458
MMLP,12.0000000000,7.000332937,0.142850349,0.166657419,0.020467089,0.023878081,0.615272136
LINK,250.0000000000,2.182390958,0.458213042,0.84574395,0.07395905,0.136509469,0.211901956
RAJA,0.4292100000,1.99566218,0.501086812,1.004356719,0.004853955,0.009729058,0.016444212
PWON,14.9912884248,2.790779351,0.358322846,0.558416088,0.027898906,0.043478105,0.211178718
BEST,-9.4000000000,3.378082429,0.296025932,0.420506871,-0.014958999,-0.021249361,-0.771724899
SIDO,29.0726083875,6.217000972,0.160849259,0.191681007,0.237067337,0.282508643,0.311729409
ASRI,-7.0700000000,1.741781471,0.574124835,1.348105931,-0.006568891,-0.015424453,-0.080453653
SMDR,225.1162014741,1.873388406,0.533792137,1.144965966,0.114255443,0.245074037,0.174051435
IMPC,32.6900000000,2.393173382,0.417855224,0.71778575,0.05608319,0.096338904,0.09814293
KRAS,44.3951000000,1.126718904,0.887532815,7.891482407,0.015908121,0.141446775,0.03698075
WEHA,-12.4000000000,2.070842465,0.482895255,0.933844176,-0.053103588,-0.102694065,-0.188933826
BEKS ,-332.0000000000,1.239754983,0.806610995,4.170924788,-0.020188192,-0.104391624,-0.621767982
POWR,60.0894000000,2.039220098,0.490383555,0.962260066,0.048434005,0.095040113,0.172389552
MAIN,8.0000000000,1.592471465,0.627954737,1.687845,0.003465592,0.009314973,0.002779083
MTDL,143.1300000000,2.185828945,0.457492341,0.843291947,0.078366162,0.144451715,0.043826859
LUCK,-1.0000000000,5.293368473,0.188915622,0.232917348,-0.006332059,-0.007806906,-0.015519614
WOWS,0.1200000000,4.751081908,0.210478375,0.266589753,0.000385528,0.000488306,0.003837336
ARKA,0.3700000000,1.251859366,0.798811773,3.970469772,0.001619607,0.008050205,0.015004694
ALDO,48.9100000000,2.406857052,0.415479598,0.71080427,0.062073857,0.106196219,0.066708663
WIIM,51.8200000000,3.540296733,0.282462199,0.393654799,0.062776974,0.087489432,0.057108316
CSRA,87.0000000000,1.857138118,0.538462913,1.166673118,0.109842691,0.237993205,0.273701993
WEGE,15.7400000000,1.671738134,0.59817981,1.488675348,0.026271921,0.065382281,0.06185611
ZYRX,35.3900000000,1.691121237,0.59132366,1.446924138,0.102571173,0.250983878,0.104429616
RALS,15.6200000000,3.776138412,0.264820801,0.360212587,0.021158212,0.028779667,0.05197621
BJTM ,78.9400000000,1.136977686,0.879524737,8.415822869,0.01173628,0.112299806,0.225484406
GJTL,5.5500000000,1.571031103,0.636524635,1.751218094,0.000805363,0.002215728,0.001386064
ARCI,32.9061000000,1.456685546,0.686489958,2.189690495,0.084055835,0.268112098,0.242415851
WTON,6.1976878785,1.675809724,0.596726457,1.479706439,0.006051662,0.015006344,0.020700751
PPRE,5.5000000000,1.721261329,0.580969306,1.386460026,0.015369242,0.036678081,0.056929583
MBAP,572.8400000000,2.924014537,0.341995564,0.519746593,0.216916086,0.329657482,0.246508034
PNLF,41.5400000000,7.081217329,0.141218657,0.16449096,0.043933334,0.051173382,0.433266696
PPRO,0.2000000000,1.299804168,0.769346664,3.335510671,0.000675407,0.002928235,0.015621985
GOOD,8.5600000000,1.790689392,0.558444141,1.26471913,0.056838766,0.12872384,0.058169328
PMMP,51.5052000000,1.391872912,0.718456399,2.55184773,0.032994868,0.117192748,0.066298639
IMAS,-29.3300000000,1.344519825,0.743759951,2.902590581,-0.00186952,-0.007295972,-0.006647433
COCO,7.6500000000,1.667346566,0.599755336,1.498471784,0.014751048,0.036855077,0.027194685
