NAMA PERUSAHAAN,LABA_PER_SAHAM,CURRENT RATIO,DEBT RATIO ,DEBT TO EQUITY RATIO,ROA,ROE,NPM
BUDI ,14.1000000000,1.806754628,0.553478588,1.239534258,0.02272725,0.050898456,0.026595146
BUKA ,-11.0000000000,23.44049339,0.042661218,0.0445623,-0.045088189,-0.047097422,-0.83706042
BUKK ,112.0000000000,2.517254256,0.397258242,0.659085315,0.057997848,0.096223378,0.1074525
BULL ,2.8614000000,1.740017752,0.57470678,1.351318934,0.003417283,0.008035123,0.020705363
BUMI,0.8700000000,1.081862968,0.924331482,12.21553566,0.019252615,0.254433623,0.107007461
BVIC,4.7100000000,1.124682,0.889140219,8.020403898,0.001736933,0.015667839,0.027654855
BWPT,-55.0100000000,1.163644939,0.859368667,6.110790892,-0.141435274,-1.005716655,-0.817230989
BYAN,0.2000000000,3.147495078,0.317712967,0.465658809,0.363809648,0.533220815,0.388850222
CAKK,5.9300000000,2.141338833,0.466997555,0.876164002,0.012319188,0.023112818,0.027675153
CAMP,13.8300000000,7.906367393,0.126480335,0.144793919,0.070945304,0.081217753,0.106919286
CARE,0.5610000000,13.24334296,0.075509636,0.081677039,0.005287921,0.005719823,0.081139169
CARS,-26.0000000000,1.12895421,0.885775518,7.754690572,-0.084451238,-0.739344458,-0.10978365
CASA,1.2300000000,1.410596295,0.708920053,3.323544998,0.002164871,0.010149306,0.054651193
CASS,20.0000000000,0.666584327,1.500185288,1.670208377,0.192829126,0.214683363,0.119717103
CCSI,0.0500000000,4.20640763,0.237732547,0.311875505,0.080078863,0.105053499,0.124347527
CEKA,218.0000000000,6.311531846,0.158440142,0.188269605,0.081936605,0.097362778,0.035131349
CENT,-9.4000000000,1.397422645,0.715603117,2.516212935,-0.037139044,-0.130588787,-0.328168036
CFIN,18.7100000000,2.614702158,0.382452738,0.619309261,0.009552679,0.015468742,0.074837149
CINT,-25.8600000000,3.723253735,0.268582286,0.367207795,-0.052447612,-0.071706784,-0.131439474
CITA,95.0000000000,6.506071595,0.153702582,0.181617689,0.091256142,0.107829871,0.11995032
