LABA PER SAHAM,CURRENT RATIO,DEBT RATIO ,DEBT TO EQUITY RATIO,ROA,ROE,NPM
5.15,2.107845644,0.47441804,0.902652825,0.005315528,0.010113604,0.006566213
-3.73,3.292322469,0.303736955,0.436238799,-0.013684033,-0.019653539,-0.290900487
-14.26,1.249192363,0.800517222,4.012964074,-0.019108134,-0.09578839,-0.402211292
3.72,9.270894751,0.107864454,0.120905903,0.020214406,0.022658447,0.05730175
22.46199,1.667024368,0.599871255,1.499195603,0.016815198,0.042024468,0.060788383
2.48,2.39039739,0.418340484,0.719218841,0.020365188,0.035012215,0.006675815
2.84,1.995665158,0.501086064,1.004353714,0.002250532,0.004510861,0.007283294
249,3.147214779,0.317741263,0.465719596,0.068534004,0.100451633,0.035609716
45,2.250187915,0.444407328,0.799879752,0.071819613,0.129266668,0.025634272
15.7377,1.357701216,0.736539077,2.795629301,0.018322285,0.069544603,0.019829645
1.58,2.730896099,0.366180171,0.577735429,0.011887525,0.018755369,0.026327437
8.01192,1.558691444,0.641563796,1.78989675,0.009518417,0.0265554,0.032121855
0.27,3.542185244,0.282311605,0.393362365,0.001979764,0.002758529,0.022675966
7.01043,1.36470027,0.732761634,2.741977681,0.018939206,0.070870087,0.045519081
-56.91,0.760423883,1.315056014,-4.174038759,-0.053794953,0.170747267,-105.7576084
95,1.406488214,0.710990671,2.460095925,0.014819548,0.051277059,0.051332782
39.1,1.582399385,0.631951712,1.71703478,0.019277753,0.052378325,0.069639534
-51,1.420056925,0.704197122,2.380629718,-0.056785006,-0.191969078,-0.058254509
204.71,1.597385748,0.626022864,1.673960257,0.038511525,0.102978286,0.058583211
5782,1.387206792,0.720873056,2.582599324,0.051508238,0.184533379,0.245856076
2.34,27.12101413,0.036871778,0.038283353,0.014835142,0.015403081,0.105018848
12.69,3.131374942,0.319348535,0.469180706,0.034186269,0.050225807,0.026574509
615.201,1.526652206,0.655028038,1.898786311,0.049679841,0.144011244,0.023540655
-8.75,1.680960109,0.594898115,1.468514802,-0.088839256,-0.219301019,-0.974690652
3.6,3.681606642,0.271620544,0.372910771,0.01124258,0.015435059,0.243708972
-13.55,1.734289755,0.576604917,1.36186021,-0.092981877,-0.219610195,-0.147828458
-2.32,6.397132468,0.156320039,0.185283575,-0.024057337,-0.028514767,-0.031310778
24.3219,2.607632485,0.383489624,0.622032715,0.055622027,0.090220748,0.031461071
-1.21,1.433493802,0.697596319,2.306838056,-0.010585164,-0.035003423,-0.057801734
6.49,108.4842009,0.009217932,0.009303693,0.05621974,0.056742791,0.708389824
-0.005,4.538693041,0.220327744,0.282590207,-0.003662329,-0.004697267,-0.27588541
-2.44,2.031302044,0.492295079,0.969648035,-0.012714167,-0.025042435,-0.018514733
100.149,1.668999632,0.599161307,1.494769134,0.023539022,0.058724426,0.024797991
4.9,1.570425465,0.636770113,1.753077417,0.007779,0.021416188,0.010282732
477.9839606,1.871131514,0.534435978,1.147932297,0.278040185,0.597211494,0.188970141
2149,3.260786279,0.306674499,0.442323987,0.049663717,0.07163117,0.044906458
47.2131,3.182689431,0.31419968,0.458150384,0.037712017,0.054989791,0.080018793
120,3.802487545,0.26298574,0.35682585,0.067407239,0.091459884,0.529522685
-918.7443057,0.723231316,1.38268349,-3.613125535,-0.176893101,0.462243879,-1.774820681
5.55,1.571031103,0.636524635,1.751218094,0.000805363,0.002215728,0.001386064
1.76,0.016324924,61.25602909,-1.01659585,0.148704465,-0.002467877,0.062055988
15.47,1.718368462,0.581947366,1.392043294,0.045528931,0.108907173,0.020751482
-19.73448923,0.662450428,1.509546916,-2.962527825,-0.079227261,0.155485704,-0.235508926
-119.33,2.090749888,0.478297287,0.916800461,-0.011035555,-0.021152957,-0.110399178
9.58,10.71065273,0.093364991,0.102979689,0.034472202,0.038022139,0.371197022
8.56,1.790689392,0.558444141,1.26471913,0.056838766,0.12872384,0.058169328
10.42,2.651450309,0.37715208,0.605528361,0.02856802,0.045866767,0.178973796
-9.058404375,4.252947955,0.235131022,0.307413464,0.085643663,0.111971678,0.661392313
-1.96,1.476629453,0.67721797,2.098065895,-0.002801255,-0.008678471,-0.016092936
-2.8614,2.118172613,0.472105056,0.894316305,-0.012139048,-0.022995197,-0.084289097
6.275365985,13.43634513,0.074425001,0.080409476,0.006272884,0.006777283,1.220608988
-6,2.05551912,0.48649511,0.947401123,-0.019831184,-0.038619271,-0.082901972
-0.13,8.316078447,0.120248986,0.136685248,-0.020569566,-0.023381123,-0.109581772
28872,4.767119163,0.209770296,0.265454836,0.053578594,0.067801291,0.097559204
4.04,2.136123003,0.468137836,0.880186386,0.02468184,0.046406459,0.233828583
-5.88,8.690718522,0.115065285,0.130026863,-0.018673534,-0.021101595,-0.004155717
-9,0.971618185,1.029210873,-35.23382783,-0.087236344,2.986433972,-3.521426209
51.34,2.254872568,0.443484042,0.796893665,0.134079644,0.240926863,0.217072197
3.3,1.866387034,0.535794549,1.154218566,0.009039444,0.019472939,0.052143484
179,1.317141539,0.759219849,3.153166262,-0.165108138,-0.685721547,-0.168045705
0.05,2.093773641,0.477606548,0.914265953,0.142380998,0.272555097,0.12596394
-1.5737711,1.508885956,0.662740611,1.965076827,0.001219605,0.003616224,0.004361054
-3.76,1.981705486,0.504615851,1.01863544,-0.013760222,-0.027776872,-0.038801925
48,2.277120747,0.439151064,0.783011318,0.113698514,0.202725738,0.076593322
1.192500247,3.055321446,0.327297804,0.486541899,0.011569342,0.017198311,0.018122792
5.97,1.876676057,0.532857014,1.140672193,0.018431702,0.039456232,0.123743549
-7.74,1.297113736,0.770942418,3.365714474,-0.02054076,-0.089675094,-0.741066088
-3.596232,3.489426447,0.286580048,0.401698954,-0.023044525,-0.032301486,-0.511138246
33.2,1.795469184,0.556957484,1.257119723,0.04604541,0.103930002,0.03919447
206.0208,1,1,1.309469714,0.075076851,0.098310862,0.253049881
-5.722804,1.303818918,0.766977673,3.291434276,-0.091584478,-0.393028766,-0.645968933
-50.34,0.662983457,1.508333261,-2.967213393,-0.097383829,0.191574773,-7.513689625
46,3.158622137,0.316593741,0.463258475,0.006809862,0.009964588,0.084575901
426,1.970388999,0.507513999,1.030514568,0.056676585,0.115082631,0.142690874
3.83,2.822655863,0.354276273,0.548649923,0.022110671,0.034241688,0.07654858
-55,1.756346948,0.569363588,1.322144557,0.076553011,0.177767158,0.187537119
6.14,16.58682481,0.060288814,0.064156749,0.051333697,0.0546271,0.114110523
21,2.155224702,0.463988743,0.86563246,0.033059188,0.061676295,0.053105768
55.34,6.639028741,0.150624442,0.177335503,0.09744713,0.114727965,0.10879845
16,1.172249381,0.853060805,5.805536105,0.002205247,0.015007888,0.046652242
-2.21,13.23791094,0.07554062,0.081713293,-0.022148714,-0.023958558,-0.528757621
-3.67,2.709170277,0.369116703,0.585079213,-0.041013562,-0.065009745,-0.39993225
0.02,2.195855191,0.455403436,0.836221649,0.000110166,0.000202289,0.000208021
0.071345,2.478578597,0.403457046,0.676325223,5.50394E-05,9.22639E-05,3.52124E-05
-29.33,1.344519825,0.743759951,2.902590581,-0.00186952,-0.007295972,-0.006647433
2.17,1.186761542,0.84262926,5.354421418,-0.000873403,-0.005549972,-0.007165633
32.69,2.393173382,0.417855224,0.71778575,0.05608319,0.096338904,0.09814293
0.91,1.227367671,0.814751784,4.398162659,0.001212187,0.006543583,0.001892327
-29.67,1.280324524,0.781051977,3.567294032,-0.013695056,-0.062549348,-0.018571893
3.61,1.363726231,0.733285008,2.749320545,0.009537855,0.035760477,0.018167898
12,3.94405293,0.253546293,0.339667806,0.004659311,0.006241929,0.006291139
177.4812,8.223396064,0.121604261,0.138439038,0.051161908,0.058244713,0.179095411
616,1.930401982,0.51802682,1.074804246,0.046485305,0.096447909,0.109896561
1.69,590.757554,0.001692742,0.001695612,0.007449003,0.007461634,1.085126622
1589.5077,2.052309198,0.487256014,0.950291038,0.06433203,0.125466182,0.085347524
219.66,8.376051426,0.119387997,0.135573892,0.047906876,0.054401798,0.07632787
-0.43,6.388315943,0.156535777,0.185586742,-0.0028941,-0.003431206,-0.050776916
-183.376444,1.301051052,0.768609348,3.321695754,-0.002279959,-0.009853289,-0.003894217
1022.092794,2.15555963,0.463916649,0.865381564,0.04534792,0.084591174,0.155899532
14.21,1.590782751,0.62862135,1.692669596,0.028601583,0.077014613,0.05528902
1.6,1.154609359,0.866093794,6.467913753,0.00095116,0.007103182,0.014710348
-4.326346819,3.010230737,0.332200448,0.497455333,-0.008906595,-0.013337229,-0.264196238
-6.48,1.362849463,0.733756755,2.755963842,-0.007115469,-0.026725444,-0.015269233
38.271225,1.488445378,0.67184192,2.047311828,0.007835741,0.023877946,0.031836521
-59,0.650448436,1.537400884,-2.860808253,-0.079799603,0.148491759,-0.490356773
2,4.873963053,0.205171847,0.258133592,0.023067552,0.029022063,0.025530479
0.00032822,1,1,1.218419609,0.046017445,0.056068557,0.11389363
1.67,4.083593301,0.244882369,0.324296982,0.050545012,0.066936607,0.116099781
9.13,2.188967675,0.456836349,0.841065759,0.008824519,0.016246521,0.047721905
17.16,4.798706366,0.208389496,0.263247512,0.063513455,0.080233214,0.150887006
14.77051126,2.667905505,0.374825869,0.599554349,0.024571801,0.039303931,0.040615188
